"Census year","Suburb","Commercial","Community Use","Educational/Research","Entertainment","Equipment Installation","Hospital/Clinic","House/Townhouse"
2006,"Melbourne (Remainder)",14,13,11,9,11,15,14
2007,"Melbourne (Remainder)",14,13,11,9,11,15,14
2008,"Melbourne (Remainder)",14,13,10,10,12,15,13
2009,"Melbourne (Remainder)",14,13,10,10,12,15,13
2010,"Melbourne (Remainder)",14,13,11,12,12,14,13
2011,"Melbourne (Remainder)",14,13,11,12,12,14,13
2012,"Melbourne (Remainder)",14,13,11,12,12,14,13
2013,"Melbourne (Remainder)",14,12,10,12,11,15,15
2014,"Melbourne (Remainder)",14,12,10,12,11,15,15
2015,"Melbourne (Remainder)",14,12,10,13,11,15,11
2016,"Melbourne (Remainder)",14,12,10,13,11,15,11
2017,"Melbourne (Remainder)",14,12,10,15,11,15,13
2018,"Melbourne (Remainder)",14,12,10,15,11,15,13
2019,"Melbourne (Remainder)",14,14,10,14,12,14,14
2020,"Melbourne (Remainder)",14,14,10,14,11,14,14
2021,"Melbourne (Remainder)",14,13,10,13,12,15,14
2022,"Melbourne (Remainder)",14,13,10,13,12,15,14
2002,"North Melbourne",69,81,69,65,74,82,74
2003,"North Melbourne",67,80,71,64,71,82,74
2004,"North Melbourne",67,80,71,64,71,82,74
2005,"North Melbourne",69,79,71,63,64,82,76
2006,"North Melbourne",69,79,71,63,64,82,76
2007,"North Melbourne",81,90,79,69,78,94,81
2008,"North Melbourne",81,90,79,69,78,94,81
2009,"North Melbourne",82,89,78,69,76,94,86
2010,"North Melbourne",82,89,78,69,76,94,86
2011,"North Melbourne",82,89,78,69,76,94,86
2012,"North Melbourne",82,89,75,71,77,94,85
2013,"North Melbourne",82,89,75,71,77,94,85
2014,"North Melbourne",84,88,76,71,79,94,86
2015,"North Melbourne",84,88,76,71,79,94,86
2016,"North Melbourne",81,88,69,72,79,94,87
2017,"North Melbourne",81,88,69,72,79,94,87
2018,"North Melbourne",81,87,68,74,79,93,83
2019,"North Melbourne",81,87,68,74,79,93,83
2020,"North Melbourne",81,87,70,70,80,93,87
2021,"North Melbourne",81,87,70,70,80,93,87
2022,"North Melbourne",84,87,70,72,83,92,86
2002,"Parkville",27,34,24,30,26,34,34
2003,"Parkville",27,33,23,30,27,34,33
2004,"Parkville",27,33,23,30,27,34,33
2005,"Parkville",27,33,25,30,27,34,34
2006,"Parkville",27,33,25,30,27,34,34
2007,"Parkville",29,33,24,30,28,34,33
2008,"Parkville",29,33,24,30,28,34,33
2009,"Parkville",29,33,24,30,28,34,33
2010,"Parkville",29,33,24,29,30,33,32
2011,"Parkville",29,33,24,29,30,33,32
2012,"Parkville",29,32,24,30,28,33,33
2013,"Parkville",29,32,24,30,28,33,33
2014,"Parkville",29,31,24,27,28,33,29
2015,"Parkville",29,31,24,27,28,33,29
2016,"Parkville",29,31,24,25,30,33,29
2017,"Parkville",29,31,24,25,30,33,29
2018,"Parkville",28,31,24,25,29,34,28
2019,"Parkville",28,31,24,25,29,34,28
2020,"Parkville",27,32,24,27,28,34,32
2021,"Parkville",27,32,24,27,28,34,32
2022,"Parkville",29,32,25,28,29,34,32
2002,"Port Melbourne",20,20,17,17,20,20,16
2003,"Port Melbourne",20,20,17,17,20,20,16
2004,"Port Melbourne",20,20,17,16,20,20,18
2005,"Port Melbourne",20,20,17,16,20,20,18
2006,"Port Melbourne",20,20,17,15,20,20,20
2007,"Port Melbourne",20,20,17,15,20,20,20
2008,"Port Melbourne",20,20,17,15,20,20,19
2009,"Port Melbourne",20,20,17,15,20,20,19
2010,"Port Melbourne",20,20,15,15,20,20,18
2011,"Port Melbourne",20,20,15,15,20,20,18
2012,"Port Melbourne",20,20,15,15,20,20,18
2013,"Port Melbourne",20,20,16,15,20,20,19
2014,"Port Melbourne",20,20,16,15,20,20,19
2015,"Port Melbourne",20,20,17,14,20,20,17
2016,"Port Melbourne",20,20,17,14,20,20,17
2017,"Port Melbourne",19,19,16,12,19,19,19
2018,"Port Melbourne",19,19,16,12,19,19,19
2019,"Port Melbourne",20,20,15,12,20,20,18
2020,"Port Melbourne",20,20,15,12,20,20,18
2021,"Port Melbourne",20,20,15,15,19,20,20
2022,"Port Melbourne",20,20,15,15,19,20,20
2002,"South Yarra",13,16,9,14,16,17,15
2003,"South Yarra",13,16,9,14,16,17,15
2004,"South Yarra",13,16,9,14,14,17,16
2005,"South Yarra",13,16,9,14,14,17,16
2006,"South Yarra",12,17,9,14,15,17,16
2007,"South Yarra",12,17,9,14,15,17,16
2008,"South Yarra",12,17,9,14,15,17,17
2009,"South Yarra",12,17,9,14,15,17,17
2010,"South Yarra",12,17,9,14,15,17,17
2011,"South Yarra",13,17,8,14,15,17,17
2012,"South Yarra",13,17,8,14,15,17,17
2013,"South Yarra",14,17,9,14,15,17,14
2014,"South Yarra",14,17,9,14,15,17,14
2015,"South Yarra",15,17,8,14,17,17,16
2016,"South Yarra",15,17,8,14,17,17,16
2017,"South Yarra",15,17,9,14,17,17,14
2018,"South Yarra",15,17,9,14,17,17,14
2019,"South Yarra",16,17,9,15,17,17,15
2020,"South Yarra",16,17,9,15,17,17,15
2021,"South Yarra",16,17,9,15,17,17,16
2022,"South Yarra",16,17,9,15,17,17,16
2002,"Southbank",36,40,29,26,35,39,34
2003,"Southbank",36,40,29,26,35,39,34
2004,"Southbank",34,40,29,26,33,39,37
2005,"Southbank",34,40,29,26,33,39,37
2006,"Southbank",33,40,30,28,32,37,34
2007,"Southbank",33,40,30,28,32,37,34
2008,"Southbank",32,39,31,27,33,37,31
2009,"Southbank",32,39,31,27,33,37,31
2010,"Southbank",32,39,31,27,33,37,31
2011,"Southbank",30,39,28,27,35,38,36
2012,"Southbank",30,39,28,27,36,38,36
2013,"Southbank",29,37,29,26,36,39,35
2014,"Southbank",29,37,29,26,36,39,35
2015,"Southbank",28,37,30,22,33,38,35
2016,"Southbank",28,37,30,22,33,38,35
2017,"Southbank",27,37,26,25,35,38,33
2018,"Southbank",27,37,26,25,35,38,33
2019,"Southbank",27,38,25,29,35,36,33
2020,"Southbank",26,38,25,29,35,36,34
2021,"Southbank",26,37,26,27,34,36,36
2022,"Southbank",26,37,26,27,34,36,36
2002,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2003,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2004,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2005,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2006,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2007,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2008,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2009,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2010,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2011,"West Melbourne (Industrial)",13,13,13,11,13,11,12
2012,"West Melbourne (Industrial)",13,13,12,11,13,12,13
2013,"West Melbourne (Industrial)",13,13,12,11,13,12,13
2014,"West Melbourne (Industrial)",12,13,13,11,13,12,12
2015,"West Melbourne (Industrial)",12,13,13,11,13,12,12
2016,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2017,"West Melbourne (Industrial)",13,13,13,11,13,11,13
2018,"West Melbourne (Industrial)",13,13,13,11,13,12,12
2019,"West Melbourne (Industrial)",13,13,13,11,13,12,12
2020,"West Melbourne (Industrial)",12,12,12,10,12,11,10
2021,"West Melbourne (Industrial)",12,12,12,10,12,11,10
2022,"West Melbourne (Industrial)",12,12,12,11,12,11,10
2002,"West Melbourne (Residential)",41,44,46,34,46,47,45
2003,"West Melbourne (Residential)",41,44,46,34,44,48,45
2004,"West Melbourne (Residential)",41,44,46,34,44,48,45
2005,"West Melbourne (Residential)",42,45,45,35,45,45,45
2006,"West Melbourne (Residential)",42,45,45,35,45,45,45
2007,"West Melbourne (Residential)",40,45,43,35,45,48,46
2008,"West Melbourne (Residential)",40,45,43,35,45,48,46
2009,"West Melbourne (Residential)",41,45,41,34,46,48,45
2010,"West Melbourne (Residential)",41,45,41,34,46,48,45
2011,"West Melbourne (Residential)",41,45,41,34,46,48,45
2012,"West Melbourne (Residential)",41,45,38,35,47,48,41
2013,"West Melbourne (Residential)",41,45,38,35,47,48,41
2014,"West Melbourne (Residential)",41,45,40,34,44,48,46
2015,"West Melbourne (Residential)",41,45,40,34,44,48,46
2016,"West Melbourne (Residential)",42,45,42,36,45,48,42
2017,"West Melbourne (Residential)",42,45,42,36,45,48,42
2018,"West Melbourne (Residential)",42,45,41,35,44,48,43
2019,"West Melbourne (Residential)",42,45,41,35,44,48,43
2020,"West Melbourne (Residential)",42,45,39,35,44,48,45
2021,"West Melbourne (Residential)",42,45,39,35,44,48,45
2022,"West Melbourne (Residential)",42,45,37,36,43,48,43
2002,"Sunshine",43,45,57,38,41,47,51
2003,"Sunshine",41,43,46,34,46,47,45
2004,"Sunshine",38,42,46,34,46,47,45
2005,"Sunshine",42,48,46,34,46,47,45
2006,"Sunshine",45,50,46,34,46,47,45
2007,"Sunshine",48,52,46,34,46,47,45
2008,"Sunshine",44,49,46,34,46,47,45
2009,"Sunshine",40,43,46,34,46,47,45
2010,"Sunshine",39,37,46,34,46,47,45
2011,"Sunshine",36,44,46,34,46,47,45
2012,"Sunshine",43,40,46,34,46,47,45
2013,"Sunshine",46,35,46,34,46,47,45
2014,"Sunshine",47,34,46,34,46,47,45
2015,"Sunshine",50,39,46,34,46,47,45
2016,"Sunshine",49,47,46,34,46,47,45
2017,"Sunshine",45,51,46,34,46,47,45
2018,"Sunshine",43,55,46,34,46,47,45
2019,"Sunshine",42,57,46,34,46,47,45
2020,"Sunshine",40,49,46,34,46,47,45
2021,"Sunshine",41,46,46,34,46,47,45
2022,"Sunshine",46,42,46,34,46,47,45
2002,"Hawthorn",40,44,46,34,56,32,44
2003,"Hawthorn",35,41,40,34,58,35,42
2004,"Hawthorn",37,43,43,34,48,40,47
2005,"Hawthorn",42,48,39,34,45,47,45
2006,"Hawthorn",46,45,45,34,46,44,48
2007,"Hawthorn",48,49,48,34,44,41,35
2008,"Hawthorn",44,45,50,34,40,42,32
2009,"Hawthorn",45,44,52,34,41,46,38
2010,"Hawthorn",43,53,42,34,43,48,43
2011,"Hawthorn",40,47,45,34,37,47,45
2012,"Hawthorn",39,40,46,34,41,49,47
2013,"Hawthorn",35,33,47,34,38,50,49
2014,"Hawthorn",36,31,41,34,44,52,53
2015,"Hawthorn",39,37,43,34,36,55,55
2016,"Hawthorn",34,43,46,34,45,53,56
2017,"Hawthorn",38,51,45,34,46,57,54
2018,"Hawthorn",41,56,50,34,48,54,46
2019,"Hawthorn",46,58,49,34,50,50,42
2020,"Hawthorn",50,47,48,34,53,47,41
2021,"Hawthorn",47,44,46,34,49,44,47
2022,"Hawthorn",45,45,43,34,43,46,49
2002,"Richmond",43,55,44,46,45,58,45
2003,"Richmond",42,54,45,45,46,57,44
2004,"Richmond",41,53,43,44,44,58,46
2005,"Richmond",43,55,46,45,45,57,43
2006,"Richmond",42,56,42,44,46,58,45
2007,"Richmond",41,54,43,45,45,57,44
2008,"Richmond",43,55,45,44,44,58,46
2009,"Richmond",42,56,41,45,46,57,43
2010,"Richmond",41,54,42,44,45,58,45
2011,"Richmond",43,55,44,45,46,57,44
2012,"Richmond",42,56,40,44,45,58,43
2013,"Richmond",41,54,41,45,47,57,45
2014,"Richmond",43,55,43,44,44,58,46
2015,"Richmond",42,56,40,45,45,57,44
2016,"Richmond",41,54,42,44,46,58,43
2017,"Richmond",43,55,43,45,45,57,45
2018,"Richmond",42,56,41,44,44,58,44
2019,"Richmond",41,54,42,45,46,57,43
2020,"Richmond",43,55,40,44,45,58,45
2021,"Richmond",42,56,39,45,44,57,44
2022,"Richmond",41,54,38,44,45,58,43
2002,"Box Hill",38,49,39,41,40,52,40
2003,"Box Hill",37,48,40,40,41,51,39
2004,"Box Hill",36,47,38,39,39,52,41
2005,"Box Hill",38,49,41,40,40,51,38
2006,"Box Hill",37,50,37,39,41,52,40
2007,"Box Hill",36,48,38,40,40,51,39
2008,"Box Hill",38,49,40,39,39,52,41
2009,"Box Hill",37,50,36,40,41,51,38
2010,"Box Hill",36,48,37,39,40,52,40
2011,"Box Hill",38,49,39,40,41,51,39
2012,"Box Hill",37,50,35,39,40,52,38
2013,"Box Hill",36,48,36,40,42,51,40
2014,"Box Hill",38,49,38,39,39,52,41
2015,"Box Hill",37,50,35,40,40,51,39
2016,"Box Hill",36,48,37,39,41,52,38
2017,"Box Hill",38,49,38,40,40,51,40
2018,"Box Hill",37,50,36,39,39,52,39
2019,"Box Hill",36,48,37,40,41,51,38
2020,"Box Hill",38,49,35,39,40,52,40
2021,"Box Hill",37,50,34,40,39,51,39
2022,"Box Hill",36,48,33,39,40,52,38
2002,"Altona",33,43,34,36,35,46,35
2003,"Altona",32,42,35,35,36,45,34
2004,"Altona",31,41,33,34,34,46,36
2005,"Altona",33,43,36,35,35,45,33
2006,"Altona",32,44,32,34,36,46,35
2007,"Altona",31,42,33,35,35,45,34
2008,"Altona",33,43,35,34,34,46,36
2009,"Altona",32,44,31,35,36,45,33
2010,"Altona",31,42,32,34,35,46,35
2011,"Altona",33,43,34,35,36,45,34
2012,"Altona",32,44,30,34,35,46,33
2013,"Altona",31,42,31,35,37,45,35
2014,"Altona",33,43,33,34,34,46,36
2015,"Altona",32,44,30,35,35,45,34
2016,"Altona",31,42,32,34,36,46,33
2017,"Altona",33,43,33,35,35,45,35
2018,"Altona",32,44,31,34,34,46,34
2019,"Altona",31,42,32,35,36,45,33
2020,"Altona",33,43,30,34,35,46,35
2021,"Altona",32,44,29,35,34,45,34
2022,"Altona",31,42,28,34,35,46,33
2002,"Footscray",28,37,29,31,30,40,30
2003,"Footscray",27,36,30,30,31,39,29
2004,"Footscray",26,35,28,29,29,40,31
2005,"Footscray",28,37,31,30,30,39,28
2006,"Footscray",27,38,27,29,31,40,30
2007,"Footscray",26,36,28,30,30,39,29
2008,"Footscray",28,37,30,29,29,40,31
2009,"Footscray",27,38,26,30,31,39,28
2010,"Footscray",26,36,27,29,30,40,30
2011,"Footscray",28,37,29,30,31,39,29
2012,"Footscray",27,38,25,29,30,40,28
2013,"Footscray",26,36,26,30,32,39,30
2014,"Footscray",28,37,28,29,29,40,31
2015,"Footscray",27,38,25,30,30,39,29
2016,"Footscray",26,36,27,29,31,40,28
2017,"Footscray",28,37,28,30,30,39,30
2018,"Footscray",27,38,26,29,29,40,29
2019,"Footscray",26,36,27,30,31,39,28
2020,"Footscray",28,37,25,29,30,40,30
2021,"Footscray",27,38,24,30,29,39,29
2022,"Footscray",26,36,23,29,30,40,28
2002,"Oakleigh",36,48,37,39,38,51,38
2003,"Oakleigh",37,49,38,40,39,52,39
2004,"Oakleigh",36,47,36,38,37,50,37
2005,"Oakleigh",37,48,37,39,38,51,38
2006,"Oakleigh",36,49,38,40,39,52,39
2007,"Oakleigh",37,47,36,38,37,50,37
2008,"Oakleigh",36,48,37,39,38,51,38
2009,"Oakleigh",37,49,38,40,39,52,39
2010,"Oakleigh",36,47,36,38,37,50,37
2011,"Oakleigh",37,48,37,39,38,51,38
2012,"Oakleigh",36,49,38,40,39,52,39
2013,"Oakleigh",37,47,36,38,37,50,37
2014,"Oakleigh",36,48,37,39,38,51,38
2015,"Oakleigh",37,49,38,40,39,52,39
2016,"Oakleigh",36,47,36,38,37,50,37
2017,"Oakleigh",37,48,37,39,38,51,38
2018,"Oakleigh",36,49,38,40,39,52,39
2019,"Oakleigh",37,47,36,38,37,50,37
2020,"Oakleigh",36,48,37,39,38,51,38
2021,"Oakleigh",37,49,38,40,39,52,39
2022,"Oakleigh",36,47,36,38,37,50,37
2002,"Braybrook",28,37,29,31,30,40,30
2003,"Braybrook",29,38,30,32,31,41,31
2004,"Braybrook",28,36,28,30,29,39,29
2005,"Braybrook",29,37,29,31,30,40,30
2006,"Braybrook",28,38,30,32,31,41,31
2007,"Braybrook",29,36,28,30,29,39,29
2008,"Braybrook",28,37,29,31,30,40,30
2009,"Braybrook",29,38,30,32,31,41,31
2010,"Braybrook",28,36,28,30,29,39,29
2011,"Braybrook",29,37,29,31,30,40,30
2012,"Braybrook",28,38,30,32,31,41,31
2013,"Braybrook",29,36,28,30,29,39,29
2014,"Braybrook",28,37,29,31,30,40,30
2015,"Braybrook",29,38,30,32,31,41,31
2016,"Braybrook",28,36,28,30,29,39,29
2017,"Braybrook",29,37,29,31,30,40,30
2018,"Braybrook",28,38,30,32,31,41,31
2019,"Braybrook",29,36,28,30,29,39,29
2020,"Braybrook",28,37,29,31,30,40,30
2021,"Braybrook",29,38,30,32,31,41,31
2022,"Braybrook",28,36,28,30,29,39,29
2002,"Doncaster",38,50,39,41,40,53,40
2003,"Doncaster",39,51,40,42,41,54,41
2004,"Doncaster",38,49,38,40,39,52,39
2005,"Doncaster",39,50,39,41,40,53,40
2006,"Doncaster",38,51,40,42,41,54,41
2007,"Doncaster",39,49,38,40,39,52,39
2008,"Doncaster",38,50,39,41,40,53,40
2009,"Doncaster",39,51,40,42,41,54,41
2010,"Doncaster",38,49,38,40,39,52,39
2011,"Doncaster",39,50,39,41,40,53,40
2012,"Doncaster",38,51,40,42,41,54,41
2013,"Doncaster",39,49,38,40,39,52,39
2014,"Doncaster",38,50,39,41,40,53,40
2015,"Doncaster",39,51,40,42,41,54,41
2016,"Doncaster",38,49,38,40,39,52,39
2017,"Doncaster",39,50,39,41,40,53,40
2018,"Doncaster",38,51,40,42,41,54,41
2019,"Doncaster",39,49,38,40,39,52,39
2020,"Doncaster",38,50,39,41,40,53,40
2021,"Doncaster",39,51,40,42,41,54,41
2022,"Doncaster",38,49,38,40,39,52,39
2002,"Burwood",34,45,35,37,36,48,36
2003,"Burwood",35,46,36,38,37,49,37
2004,"Burwood",34,44,34,36,35,47,35
2005,"Burwood",35,45,35,37,36,48,36
2006,"Burwood",34,46,36,38,37,49,37
2007,"Burwood",35,44,34,36,35,47,35
2008,"Burwood",34,45,35,37,36,48,36
2009,"Burwood",35,46,36,38,37,49,37
2010,"Burwood",34,44,34,36,35,47,35
2011,"Burwood",35,45,35,37,36,48,36
2012,"Burwood",34,46,36,38,37,49,37
2013,"Burwood",35,44,34,36,35,47,35
2014,"Burwood",34,45,35,37,36,48,36
2015,"Burwood",35,46,36,38,37,49,37
2016,"Burwood",34,44,34,36,35,47,35
2017,"Burwood",35,45,35,37,36,48,36
2018,"Burwood",34,46,36,38,37,49,37
2019,"Burwood",35,44,34,36,35,47,35
2020,"Burwood",34,45,35,37,36,48,36
2021,"Burwood",35,46,36,38,37,49,37
2022,"Burwood",34,44,34,36,35,47,35
2002,"Clayton",32,42,33,35,34,45,34
2003,"Clayton",33,43,34,36,35,46,35
2004,"Clayton",32,41,32,34,33,44,33
2005,"Clayton",33,42,33,35,34,45,34
2006,"Clayton",32,43,34,36,35,46,35
2007,"Clayton",33,41,32,34,33,44,33
2008,"Clayton",32,42,33,35,34,45,34
2009,"Clayton",33,43,34,36,35,46,35
2010,"Clayton",32,41,32,34,33,44,33
2011,"Clayton",33,42,33,35,34,45,34
2012,"Clayton",32,43,34,36,35,46,35
2013,"Clayton",33,41,32,34,33,44,33
2014,"Clayton",32,42,33,35,34,45,34
2015,"Clayton",33,43,34,36,35,46,35
2016,"Clayton",32,41,32,34,33,44,33
2017,"Clayton",33,42,33,35,34,45,34
2018,"Clayton",32,43,34,36,35,46,35
2019,"Clayton",33,41,32,34,33,44,33
2020,"Clayton",32,42,33,35,34,45,34
2021,"Clayton",33,43,34,36,35,46,35
2022,"Clayton",32,41,32,34,33,44,33
2002,"Sandringham",40,52,41,43,42,55,42
2003,"Sandringham",41,53,42,44,43,56,43
2004,"Sandringham",40,51,40,42,41,54,41
2005,"Sandringham",41,52,41,43,42,55,42
2006,"Sandringham",40,53,42,44,43,56,43
2007,"Sandringham",41,51,40,42,41,54,41
2008,"Sandringham",40,52,41,43,42,55,42
2009,"Sandringham",41,53,42,44,43,56,43
2010,"Sandringham",40,51,40,42,41,54,41
2011,"Sandringham",41,52,41,43,42,55,42
2012,"Sandringham",40,53,42,44,43,56,43
2013,"Sandringham",41,51,40,42,41,54,41
2014,"Sandringham",40,52,41,43,42,55,42
2015,"Sandringham",41,53,42,44,43,56,43
2016,"Sandringham",40,51,40,42,41,54,41
2017,"Sandringham",41,52,41,43,42,55,42
2018,"Sandringham",40,53,42,44,43,56,43
2019,"Sandringham",41,51,40,42,41,54,41
2020,"Sandringham",40,52,41,43,42,55,42
2021,"Sandringham",41,53,42,44,43,56,43
2022,"Sandringham",40,51,40,42,41,54,41


